Type,Area(m2),Price(VNĐ),Bedroom(Phòng),Floor(Tầng),Furniture,Legal,Posting date,District,Project
Căn hộ chung cư,79,3450000000,2,3,Không có thông tin,Hợp đồng mua bán,5/17/2025,8,Dự án Topaz Elite
Căn hộ chung cư,137,13000000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/20/2025,7,Dự án Riverpark Premier
Nhà riêng,60,,2,1,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/2/2025,12,Không
Căn hộ chung cư,102,4000000000,3,3,Không nội thất,Sổ đỏ và sổ hồng,5/14/2025,6,Dự án Him Lam Chợ Lớn
Nhà mặt phố,90,9600000000,4,3,Không có thông tin,Sổ hồng,5/25/2025,9,Không
Nhà mặt phố,82,37000000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,1,Không
"Nhà biệt thự, liền kề",112.8,13900000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,9,Không
Căn hộ chung cư,73,2820000000,2,3,Không có thông tin,Hợp đồng mua bán,5/2/2025,8,Không
Đất nền dự án,196,17800000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/13/2025,9,Dự án Khang Điền Intresco
Căn hộ chung cư,65.3,2290000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/14/2025,7,Không
Căn hộ chung cư,140,22000000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/12/2025,2,Dự án The River Thủ Thiêm
Căn hộ chung cư,220,14000000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/20/2025,11,Dự án The Flemington
Căn hộ chung cư,100,4200000000,3,3,Không có thông tin,Không có thông tin,5/20/2025,6,Dự án Viva Riverside
Căn hộ chung cư,72,7200000000,2,3,Không có thông tin,Không có thông tin,5/2/2025,3,Không
Căn hộ chung cư,68,3200000000,2,3,Không có thông tin,Không có thông tin,5/19/2025,6,Dự án Asiana Capella
Nhà riêng,80,,2,1,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/2/2025,12,Không
Nhà riêng,67,6500000000,5,2,Không có thông tin,Sổ đỏ và sổ hồng,5/25/2025,11,Không
Nhà riêng,70,6600000000,3,2,Không có thông tin,Sổ đỏ và sổ hồng,5/20/2025,11,Không
Nhà riêng,49,3890000000,2,1,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/23/2025,2,Không
Nhà riêng,54,7000000000,5,4,Không có thông tin,Sổ đỏ và sổ hồng,5/20/2025,11,Không
Nhà riêng,57,7400000000,3,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/10/2025,11,Không
Căn hộ chung cư,60,6000000000,2,3,Không có thông tin,Không có thông tin,5/13/2025,3,Không
Căn hộ chung cư,90,6500000000,2,3,Nội thất sang trọng,Sổ đỏ và sổ hồng,5/2/2025,2,Không
Nhà riêng,39,7500000000,4,5,Không có thông tin,Không có thông tin,5/9/2025,11,Không
Căn hộ chung cư,72,5200000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/25/2025,7,Không
Nhà riêng,60,,2,2,Không có thông tin,Sổ đỏ và sổ hồng,5/7/2025,12,Không
"Nhà biệt thự, liền kề",126,32500000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/12/2025,7,Dự án Mỹ Giang 1&2
Nhà riêng,72,7500000000,5,4,Không có thông tin,Không có thông tin,5/12/2025,11,Không
Nhà riêng,40,5950000000,5,5,Không có thông tin,Không có thông tin,5/9/2025,11,Không
Đất bán,80,4600000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/27/2025,12,Không
Nhà riêng,95,17500000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/22/2025,7,Không
Đất bán,145,9500000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/27/2025,12,Không
Đất nền dự án,111,23400000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/19/2025,7,Dự án Hưng Gia
Căn hộ chung cư,78,5150000000,2,3,Không có thông tin,Hợp đồng mua bán,5/15/2025,10,Dự án Rivera Park Sài Gòn
Nhà mặt phố,210,34000000000,2,2,Không có thông tin,Không có thông tin,5/19/2025,9,Không
Nhà mặt phố,240,22500000000,1,1,Không có thông tin,Không có thông tin,5/19/2025,9,Không
Nhà riêng,30,6200000000,6,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/2/2025,3,Không
Nhà mặt phố,125,21000000000,6,4,Không có thông tin,Không có thông tin,5/19/2025,9,Không
Nhà mặt phố,126,16500000000,3,4,Không có thông tin,Không có thông tin,5/22/2025,9,Không
Nhà mặt phố,250,30000000000,3,1,Không có thông tin,Không có thông tin,5/17/2025,9,Không
Đất bán,50,3900000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/30/2025,12,Không
Nhà riêng,45.4,4790000000,3,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/22/2025,7,Không
Nhà riêng,72,,3,2,Không có thông tin,Sổ đỏ và sổ hồng,5/13/2025,9,Không
Nhà riêng,20,820000000,3,2,Nội thất cơ bản,Khác,5/21/2025,12,Không
Căn hộ chung cư,80,5200000000,2,3,Không có thông tin,Không có thông tin,5/21/2025,10,Dự án Xi Grand Court
Căn hộ chung cư,68,3400000000,2,3,Không có thông tin,Không có thông tin,5/15/2025,6,Dự án Viva Riverside
Căn hộ chung cư,109,18000000000,3,3,Nội thất sang trọng,Không có thông tin,5/2/2025,2,Dự án Thảo Điền Green
Căn hộ chung cư,84,12500000000,2,3,Không có thông tin,Không có thông tin,5/2/2025,2,Không
Căn hộ chung cư,92,8850000000,2,3,Không có thông tin,Không có thông tin,5/21/2025,2,Dự án D'Edge Thảo Điền
Nhà riêng,53,3300000000,2,2,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,12,Không
Căn hộ chung cư,84,11000000000,2,3,Không có thông tin,Không có thông tin,5/2/2025,2,Không
Căn hộ chung cư,145,13950000000,3,3,Không có thông tin,Không có thông tin,5/21/2025,2,Dự án Xi Riverview Palace
Căn hộ chung cư,201,42000000000,4,3,Không có thông tin,Không có thông tin,5/21/2025,2,Dự án Zeit River Thủ Thiêm 
Căn hộ chung cư,125.8,23100000000,3,3,Không có thông tin,Không có thông tin,5/21/2025,2,Dự án Zeit River Thủ Thiêm 
Nhà riêng,52,5200000000,2,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/20/2025,7,Không
Nhà riêng,92.5,13800000000,5,4,Không có thông tin,Sổ đỏ và sổ hồng,5/15/2025,7,Dự án Phú Mỹ Chợ Lớn
Đất bán,90,7200000000,-1,-1,Không có thông tin,Không có thông tin,5/16/2025,7,Không
"Nhà biệt thự, liền kề",126,18000000000,5,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/16/2025,7,Dự án KDC Phú Mỹ
"Nhà biệt thự, liền kề",85,13000000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/16/2025,7,Không
Đất nền dự án,100,13500000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/16/2025,7,Dự án Kim Sơn
Nhà mặt phố,100,25000000000,4,5,Không có thông tin,Sổ đỏ và sổ hồng,5/16/2025,7,Dự án Him Lam Kênh Tẻ
Đất bán,100,,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,9,Không
"Nhà biệt thự, liền kề",120,18000000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/15/2025,9,Dự án Verosa Park
"Nhà biệt thự, liền kề",195,19000000000,5,3,Không có thông tin,Hợp đồng mua bán,5/16/2025,9,Không
Nhà mặt phố,68,7400000000,4,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,8,Không
Nhà riêng,63,8300000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/24/2025,11,Không
"Nhà biệt thự, liền kề",206,33000000000,5,3,Không nội thất,Sổ đỏ và sổ hồng,5/16/2025,9,Dự án The Classia
"Nhà biệt thự, liền kề",261,27000000000,3,1,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/20/2025,9,Dự án Kikyo Residence
"Nhà biệt thự, liền kề",205,25000000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/15/2025,9,Không
Đất bán,80,,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,9,Không
"Nhà biệt thự, liền kề",100,7480000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/8/2025,9,Dự án Đông Tăng Long
Nhà riêng,60,,3,2,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,12,Không
Đất nền dự án,107.5,11500000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/17/2025,7,Dự án Phú Mỹ Chợ Lớn
Nhà riêng,70,,3,2,Không có thông tin,Sổ đỏ,5/2/2025,12,Không
"Nhà biệt thự, liền kề",120,15000000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/16/2025,7,Dự án Nam Long Trần Trọng Cung
Đất nền dự án,90,13000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/17/2025,7,Dự án Sadeco ven sông
Căn hộ chung cư,70,6000000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/22/2025,7,Dự án Sunshine Sky City 
Đất bán,100,,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,9,Không
Nhà mặt phố,262,28500000000,1,1,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,9,Không
Nhà mặt phố,100,6550000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/12/2025,12,Không
Đất bán,58.2,6990000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,7,Không
Nhà mặt phố,57.1,29500000000,5,4,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,1,Không
Căn hộ chung cư,95,5500000000,3,3,Nội thất đầy đủ,Đang chờ sổ,4/25/2025,2,Không
Căn hộ chung cư,60,3080000000,2,3,Không có thông tin,Sổ đỏ và sổ hồng,4/21/2025,9,Dự án The Beverly Solari  - Vinhomes Grand Park
Nhà mặt phố,90,18000000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/17/2025,7,Không
"Nhà biệt thự, liền kề",220.5,32000000000,4,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/23/2025,7,Dự án KDC Phú Mỹ
Căn hộ chung cư,176,22000000000,3,3,Nội thất đầy đủ,Hợp đồng mua bán,5/14/2025,4,Dự án Saigon Royal Residence
Nhà riêng,60,6800000000,3,2,Không có thông tin,Sổ đỏ và sổ hồng,5/1/2025,10,Không
Căn hộ chung cư,49,4450000000,1,3,Không có thông tin,Hợp đồng mua bán,5/14/2025,4,Không
Căn hộ chung cư,51,2020000000,1,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/2/2025,8,Dự án Conic Riverside
Căn hộ chung cư,120,8000000000,3,3,Không có thông tin,Không có thông tin,5/13/2025,1,Dự án Horizon
Căn hộ chung cư,111,8200000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,2,Dự án Cantavil An Phú
Nhà riêng,124,8500000000,4,1,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/24/2025,7,Không
Đất nền dự án,100,5900000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,9,Dự án Đông Tăng Long
Nhà riêng,100,10400000000,3,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/2/2025,7,Không
Nhà mặt phố,270.8,42000000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/23/2025,2,Không
Nhà mặt phố,96,26500000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,2,Không
Nhà riêng,43.2,4100000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,7,Không
Căn hộ chung cư,67,3200000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/20/2025,7,Dự án Q7 Saigon Riverside
Nhà riêng,40,5200000000,3,2,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,8,Không
Nhà riêng,72,3070000000,3,3,Không nội thất,Sổ đỏ và sổ hồng,5/2/2025,12,Không
Nhà riêng,52,5000000000,4,2,Không có thông tin,Không có thông tin,5/22/2025,8,Không
Căn hộ chung cư,70,2990000000,2,3,Nội thất sang trọng,Sổ đỏ và sổ hồng,5/5/2025,9,Dự án The Origami
Căn hộ chung cư,82.7,4070000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/16/2025,9,Không
Nhà mặt phố,80,16000000000,3,3,Không có thông tin,Sổ hồng,5/15/2025,2,Không
Nhà riêng,44,14500000000,6,4,Không có thông tin,Sổ đỏ và sổ hồng,5/22/2025,1,Không
Nhà riêng,162,16200000000,6,2,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,7,Không
"Nhà biệt thự, liền kề",75,5500000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,9,Dự án Valencia Riverside
Căn hộ chung cư,62,2100000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/17/2025,8,Dự án Dream Home Palace
Đất bán,68,3400000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/28/2025,9,Không
Nhà mặt phố,60,4400000000,3,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/16/2025,9,Không
Nhà mặt phố,202,14800000000,4,4,Không có thông tin,Không có thông tin,5/2/2025,2,Không
Nhà mặt phố,91,20500000000,1,2,Không nội thất,Sổ đỏ và sổ hồng,5/18/2025,11,Không
Nhà riêng,64,4350000000,3,1,Không có thông tin,Sổ đỏ và sổ hồng,5/13/2025,12,Không
Nhà riêng,55.2,18000000000,3,5,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,1,Không
Nhà mặt phố,80,23000000000,3,2,Không có thông tin,Không có thông tin,5/20/2025,10,Không
Căn hộ chung cư,62.37,1490000000,2,3,Không có thông tin,Không có thông tin,5/2/2025,8,Dự án Dream Home Riverside
Căn hộ chung cư,62,1850000000,2,3,Không có thông tin,Hợp đồng mua bán,5/2/2025,8,Dự án Dream Home Palace
Căn hộ chung cư,78,2100000000,3,3,Không có thông tin,Hợp đồng mua bán,5/21/2025,8,Dự án Dream Home Palace
Đất bán,90,8000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,9,Không
Nhà riêng,100,6500000000,5,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/12/2025,12,Không
Nhà riêng,70,5500000000,3,3,Không có thông tin,Không có thông tin,5/24/2025,12,Không
Căn hộ chung cư,71,,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/2/2025,2,Dự án Q2 Thảo Điền
Nhà riêng,80,15900000000,5,4,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/2/2025,2,Không
Nhà riêng,34.2,6000000000,2,3,Không có thông tin,Không có thông tin,5/2/2025,10,Không
Nhà mặt phố,150,27000000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,7,Không
"Nhà biệt thự, liền kề",160,13500000000,4,3,Không nội thất,Sổ đỏ và sổ hồng,5/2/2025,9,Dự án Đông Tăng Long
"Nhà biệt thự, liền kề",160,13500000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,9,Dự án Đông Tăng Long
Đất bán,99.8,5800000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,9,Không
Căn hộ chung cư,134,15000000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,7,Dự án Riverpark Residence
"Nhà biệt thự, liền kề",126,33000000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,7,Không
Căn hộ chung cư,137.4,16000000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,7,Dự án Riverpark Residence
Căn hộ chung cư,61,2290000000,2,3,Không nội thất,Sổ đỏ và sổ hồng,5/12/2025,9,Dự án The Rainbow - Vinhomes Grand Park
Căn hộ chung cư,59,2380000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/12/2025,9,Dự án The Rainbow - Vinhomes Grand Park
Căn hộ chung cư,120,13000000000,3,3,Nội thất đầy đủ,Không có thông tin,4/28/2025,2,Dự án Sadora Sala
"Nhà biệt thự, liền kề",200,22500000000,5,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,2,Dự án Đông Thủ Thiêm
Căn hộ chung cư,81.5,3400000000,2,3,Không nội thất,Sổ đỏ và sổ hồng,5/12/2025,9,Dự án Vinhomes Grand Park
"Nhà biệt thự, liền kề",152,21000000000,5,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,9,Dự án Verosa Park
Đất nền dự án,250,25000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/22/2025,9,Dự án Hoàng Anh Minh Tuấn
Đất nền dự án,187.5,18750000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,2,Dự án Đông Thủ Thiêm
Đất nền dự án,132,17028000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/22/2025,2,Dự án Đông Thủ Thiêm
Căn hộ chung cư,67,2700000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/12/2025,9,Dự án Vinhomes Grand Park
Căn hộ chung cư,69,4200000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/16/2025,9,Dự án The Beverly Solari  - Vinhomes Grand Park
"Nhà biệt thự, liền kề",96,16700000000,4,5,Không nội thất,Sổ đỏ và sổ hồng,5/17/2025,9,Dự án The Manhattan
Căn hộ chung cư,61,2640000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/21/2025,9,Dự án The Origami
Căn hộ chung cư,69,2790000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/17/2025,9,Dự án Vinhomes Grand Park
Nhà riêng,40,5700000000,4,4,Không có thông tin,Sổ đỏ và sổ hồng,5/7/2025,11,Không
Nhà riêng,57,15000000000,6,3,Không có thông tin,Không có thông tin,5/13/2025,4,Không
Nhà riêng,47.3,5600000000,2,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,7,Không
Nhà mặt phố,62.5,10990000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,4,Không
Căn hộ chung cư,91,5200000000,3,3,Không nội thất,Sổ đỏ và sổ hồng,5/16/2025,8,Dự án Diamond Lotus
Nhà riêng,82.3,7550000000,4,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,7,Không
Nhà riêng,62,5900000000,3,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/16/2025,8,Không
Nhà mặt phố,86,,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,3,Không
Nhà riêng,25,6280000000,3,4,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/17/2025,5,Không
Nhà mặt phố,30,6900000000,3,5,Không có thông tin,Sổ đỏ và sổ hồng,5/17/2025,11,Không
Nhà mặt phố,64,,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/2/2025,10,Không
Căn hộ chung cư,65,3350000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,11,Không
Nhà riêng,42,7100000000,4,4,Không có thông tin,Sổ đỏ và sổ hồng,5/23/2025,8,Không
Nhà mặt phố,57,17000000000,3,2,Không có thông tin,Sổ đỏ và sổ hồng,5/23/2025,8,Không
Nhà riêng,112,14800000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,4/29/2025,7,Không
Căn hộ chung cư,76,2150000000,2,3,Nội thất đầy đủ,Không có thông tin,5/22/2025,12,Dự án Hiệp Thành Building
Nhà riêng,65,13100000000,6,4,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,10,Không
Nhà riêng,52,8600000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/25/2025,10,Không
Nhà mặt phố,37,6950000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/22/2025,8,Không
Căn hộ chung cư,50,4390000000,1,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/23/2025,4,Dự án ICON 56
Căn hộ chung cư,93,7290000000,3,3,Nội thất đầy đủ,Hợp đồng mua bán,5/13/2025,4,Dự án River Gate
Căn hộ chung cư,75,6200000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/23/2025,4,Không
Căn hộ chung cư,51,2500000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,4,Không
Căn hộ chung cư,60,3500000000,2,3,Không có thông tin,Sổ đỏ và sổ hồng,5/16/2025,2,Dự án Thủ Thiêm Sky
Căn hộ chung cư,120,13000000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/23/2025,2,Dự án Sadora Sala
Nhà riêng,52,3250000000,3,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/1/2025,9,Không
Căn hộ chung cư,70,19000000000,2,3,Nội thất đầy đủ,Đang chờ sổ,5/22/2025,2,Không
Nhà riêng,54.3,6500000000,1,1,Không nội thất,Sổ đỏ và sổ hồng,5/1/2025,10,Không
Nhà riêng,34,8050000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/1/2025,3,Không
Nhà riêng,27.6,4200000000,2,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/1/2025,3,Không
Nhà riêng,68,12000000000,5,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/11/2025,6,Không
Căn hộ chung cư,120.7,7710000000,3,3,Không có thông tin,Hợp đồng mua bán,4/25/2025,Tân Phú,Không
Nhà riêng,90,9800000000,5,4,Không có thông tin,Sổ đỏ và sổ hồng,5/16/2025,6,Không
Nhà riêng,80,9700000000,2,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/14/2025,2,Không
Nhà mặt phố,71,26000000000,6,5,Không có thông tin,Sổ đỏ và sổ hồng,5/25/2025,10,Không
"Nhà biệt thự, liền kề",150,25000000000,5,4,Không nội thất,Sổ đỏ và sổ hồng,5/1/2025,2,Dự án Gladia Khang Điền
Nhà riêng,184,43500000000,6,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/1/2025,2,Không
Căn hộ chung cư,50,2100000000,1,3,Nội thất đầy đủ,Hợp đồng mua bán,4/26/2025,7,Dự án Q7 Boulevard
Căn hộ chung cư,82,6450000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/1/2025,4,Không
Nhà riêng,50,6800000000,4,4,Không có thông tin,Sổ đỏ và sổ hồng,5/1/2025,8,Không
Nhà mặt phố,80,16700000000,4,4,Không có thông tin,Sổ đỏ và sổ hồng,5/15/2025,8,Không
Căn hộ chung cư,72,4650000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/1/2025,2,Dự án Victoria Village
Nhà riêng,48,2700000000,2,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/12/2025,12,Không
Nhà riêng,64,6400000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/1/2025,7,Không
Nhà riêng,44.3,6500000000,2,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/1/2025,10,Không
Nhà mặt phố,150,31000000000,3,4,Không có thông tin,Sổ đỏ và sổ hồng,5/1/2025,1,Không
Nhà riêng,35,8000000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/23/2025,3,Không
Nhà riêng,42,9450000000,4,4,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,10,Không
Căn hộ chung cư,51,9000000000,1,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/25/2025,1,Không
Nhà riêng,72.5,9500000000,4,4,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/21/2025,2,Không
Căn hộ chung cư,97.37,14900000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/1/2025,2,Dự án Zeit River Thủ Thiêm
Nhà mặt phố,59.1,35000000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/9/2025,1,Không
Nhà riêng,91,29000000000,5,6,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/10/2025,3,Không
Đất bán,58,2650000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/21/2025,9,Không
Căn hộ chung cư,104,15000000000,3,3,Không có thông tin,Không có thông tin,5/12/2025,1,Không
Nhà riêng,36.3,7650000000,2,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,1,Không
Nhà riêng,42.5,9200000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/6/2025,1,Không
Nhà riêng,52.2,11600000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/22/2025,1,Không
Nhà riêng,33,3900000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/22/2025,7,Không
Căn hộ chung cư,36,,3,3,Không có thông tin,Không có thông tin,5/1/2025,2,Không
Căn hộ chung cư,133,11500000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/22/2025,7,Không
Căn hộ chung cư,65,2000000000,2,3,Không có thông tin,Sổ hồng,5/1/2025,12,Dự án Prosper Plaza
Căn hộ chung cư,54,2350000000,2,3,Không có thông tin,Sổ đỏ và sổ hồng,5/12/2025,12,Dự án Prosper Plaza
Đất bán,90,6450000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/1/2025,12,Không
Nhà mặt phố,80,6500000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/1/2025,12,Không
Căn hộ chung cư,81,3850000000,2,3,Không có thông tin,Không có thông tin,5/14/2025,2,Không
Căn hộ chung cư,78,11800000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/22/2025,1,Không
Nhà riêng,88,8900000000,4,4,Không có thông tin,Sổ đỏ và sổ hồng,5/1/2025,2,Không
Nhà riêng,36,4790000000,3,2,Không có thông tin,Sổ đỏ và sổ hồng,5/24/2025,9,Không
Nhà mặt phố,78,6300000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/24/2025,9,Không
Nhà riêng,100,,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/24/2025,9,Không
Đất nền dự án,90,9750000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/1/2025,9,Dự án KDC Nam Long
Nhà riêng,103,5300000000,4,2,Không có thông tin,Sổ đỏ và sổ hồng,5/1/2025,12,Không
Nhà riêng,57.1,6200000000,5,5,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/1/2025,12,Không
Nhà riêng,32,7300000000,2,2,Không có thông tin,Sổ đỏ và sổ hồng,5/22/2025,10,Không
Nhà riêng,33,4680000000,2,3,Không có thông tin,Sổ đỏ và sổ hồng,5/22/2025,5,Không
Nhà mặt phố,82.5,24500000000,6,4,Không có thông tin,Sổ đỏ và sổ hồng,5/15/2025,10,Không
Nhà riêng,98,17000000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/1/2025,3,Không
Nhà riêng,104,15500000000,3,4,Nội thất đầy đủ,Sổ hồng,5/1/2025,3,Không
Nhà riêng,76.5,26500000000,4,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/17/2025,3,Không
Nhà riêng,23.1,3900000000,2,2,Không có thông tin,Sổ đỏ và sổ hồng,5/22/2025,3,Không
Nhà riêng,54,7500000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/22/2025,10,Không
"Nhà biệt thự, liền kề",95,18500000000,5,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/21/2025,9,Dự án The Classia
